Case Type,Case Number,Status,Source,Incident Date,Incident Time,Incident Location Type,Incident Location,Incident City,Incident State,Incident Zip,Incident County,Child ID 1,Child ID 2,Child ID 3,Child ID 4,Child ID 5,Child ID 6,Child Race 1,Child Race 2,Child Race 3,Child Race 4,Child Race 5,Child Race 6,Child Gender 1,Child Gender 2,Child Gender 3,Child Gender 4,Child Gender 5,Child Gender 6,Child Perceived Age 1,Child Perceived Age 2,Child Perceived Age 3,Child Perceived Age 4,Child Perceived Age 5,Child Perceived Age 6,Offender Gender 1,Offender Gender 2,Offender Gender 3,Offender Race 1,Offender Race 2,Offender Race 3,Offender Age 1,Offender Age 2,Offender Age 3,Offender Perceived Age 1,Offender Perceived Age 2,Offender Perceived Age 3,Vehicle Style 1,Vehicle Style 2,Vehicle Color 1,Vehicle Color 2,How Got Away,How Got Away Detail,Offender Method Animal,Offender Method Candy,Offender Method Money,Offender Method Ride,Offender Method Other,Offender Method Other Detail
Attempted Abduction,1193717,Closed,Internet,4/21/2012,7:01 PM,Park,Midland Dr & Brennan Dr,Newark,DE,19713,New Castle,462324,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,,,,Unknown,,,Van,,White,,Ran Away,,0,0,0,0,-1,Unknown
Attempted Abduction,1261946,Closed,Internet,1/27/2016,4:15 PM,Street,Midmeadow Ln & Pryor Dr,Festus,MO,63028,Jefferson,553636,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,,,Ran Away,,0,0,0,0,-1,None
Attempted Abduction,1214754,Closed,Internet,4/22/2013,6:54 PM,Street,Midsummer Dr & Upshire Cir,Gaithersburg,MD,20878,Montgomery,485645,,,,,,Unknown,,,,,,Male,,,,,,14,,,,,,Male,,,Hispanic,,,,,,Unknown,,,Van,,,,Fought/Broke Free,,0,0,0,0,-1,None
Attempted Abduction,1216386,Closed,Internet,5/7/2013,12:00 AM,Restaurant,Midway Rd & W Northwest Hwy,Dallas,TX,75220,Dallas,487483,,,,,,Unknown,,,,,,Male,,,,,,10,,,,,,Male,,,Unknown,,,,,,Unknown,,,,,,,Ran Away,,0,0,0,-1,0,
Attempted Abduction,1254532,Closed,Internet,9/8/2015,3:30 PM,Athletic Field,Milden Ave,La Mesa,CA,91942,San Diego,543278,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,Hispanic,,,,,,30-40,,,Pickup Truck,,Maroon,,Ignored/Refused,,0,0,0,0,-1,Cigarette
Attempted Abduction,1272323,Closed,Internet,7/12/2016,6:10 PM,Street,Mill Rd & Mary Vey Dr,Rockingham,NH,3833,Brentwood,568342,,,,,,Unknown,,,,,,Male,,,,,,10,,,,,,Male,,,White,,,,,,Unknown,,,Pickup Truck,,Red,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1225005,Closed,Internet,11/1/2013,7:00 AM,School - Bus Stop,Mill Rd & Tremont Ave,Egg Harbor Township,NJ,8234,Atlantic,498366,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Unknown,,,Unknown,,,,,,Unknown,,,Sport Utility,,White,,None,,0,0,0,0,-1,None
Attempted Abduction,1187168,Closed,Internet,1/10/2012,3:30 PM,Street,Milton Ave & Elmwood Dr,Glen Ellyn,IL,60137,DuPage,455149,,,,,,Unknown,,,,,,Unknown,,,,,,Unknown,,,,,,Male,,,White,,,,,,55,,,Van,,Blue,,Other,Child Left,-1,0,0,0,0,
Attempted Abduction,1266942,Closed,Internet,4/18/2016,4:30 PM,Street,Milton Ave & S Beech St,Casper,WY,82601,Natrona,560774,,,,,,Unknown,,,,,,Female,,,,,,Unknown,,,,,,Male,,,White,,,20,,,,,,,,,,Unknown,,0,0,0,0,-1,None
Attempted Abduction,1274123,Closed,Internet,8/1/2016,12:00 AM,Street,Minnesota Ave & Blow St,St. Louis,MO,63111,St. Louis City,570844,,,,,,Unknown,,,,,,Female,,,,,,11,,,,,,Male,,,White,,,43,,,,,,Van,,Gold,,Ran Away,Hid behind car,0,0,0,0,-1,Called over
